# TSIS-1 Hybrid Solar Reference Spectrum (HSRS) v1 — B11 + B12 wavelength ranges.
# Source: Coddington et al. 2021, Geophys. Res. Lett. 48, e2020GL091709 (doi:10.1029/2020GL091709).
#   Downloaded from LASP LISIRD (lasp.colorado.edu/lisird/data/tsis1_hsrs) via the LaTiS CSV API
#   on 2026-07-07. Ranges: 1530-1690 nm (B11) and 2070-2330 nm (B12); native 0.001 nm resolution
#   decimated to ~0.02 nm here (the CH4 fine structure comes from HITRAN, not the solar envelope).
# irradiance is solar spectral irradiance E_lambda in W/m^2/nm at 1 AU. The LUT generator converts
#   the SHAPE to per-wavenumber E_nu via the lambda^2 Jacobian (E_nu ∝ E_lambda·lambda^2) before use.
# wavelength in nm; irradiance in W m^-2 nm^-1.
wavelength_nm,irradiance_w_m2_nm
1537.680,2.774215e-01
1537.700,2.774483e-01
1537.720,2.774375e-01
1537.740,2.761522e-01
1537.760,2.694104e-01
1537.780,2.764783e-01
1537.800,2.773914e-01
1537.820,2.773626e-01
1537.840,2.772955e-01
1537.860,2.771823e-01
1537.880,2.769677e-01
1537.900,2.764923e-01
1537.920,2.751290e-01
1537.940,2.691392e-01
1537.960,2.576052e-01
1537.980,2.687891e-01
1538.000,2.723266e-01
1538.020,2.733728e-01
1538.040,2.719810e-01
1538.060,2.653922e-01
1538.080,2.396249e-01
1538.100,1.836676e-01
1538.120,2.095050e-01
1538.140,2.561333e-01
1538.160,2.690860e-01
1538.180,2.712764e-01
1538.200,2.723100e-01
1538.220,2.751790e-01
1538.240,2.762283e-01
1538.260,2.766668e-01
1538.280,2.768890e-01
1538.300,2.770132e-01
1538.320,2.770860e-01
1538.340,2.771279e-01
1538.360,2.771536e-01
1538.380,2.771655e-01
1538.400,2.771691e-01
1538.420,2.771659e-01
1538.440,2.771302e-01
1538.460,2.767902e-01
1538.480,2.754338e-01
1538.500,2.740957e-01
1538.520,2.749306e-01
1538.540,2.757933e-01
1538.560,2.759474e-01
1538.580,2.735672e-01
1538.600,2.607907e-01
1538.620,2.401668e-01
1538.640,2.656862e-01
1538.660,2.744140e-01
1538.680,2.761543e-01
1538.700,2.766699e-01
1538.720,2.768596e-01
1538.740,2.769294e-01
1538.760,2.769334e-01
1538.780,2.768512e-01
1538.800,2.764811e-01
1538.820,2.742593e-01
1538.840,2.734748e-01
1538.860,2.763013e-01
1538.880,2.767947e-01
1538.900,2.768990e-01
1538.920,2.769237e-01
1538.940,2.769214e-01
1538.960,2.769056e-01
1538.980,2.768790e-01
1539.000,2.768374e-01
1539.020,2.767795e-01
1539.040,2.766942e-01
1539.060,2.765628e-01
1539.080,2.763441e-01
1539.100,2.759422e-01
1539.120,2.749205e-01
1539.140,2.699079e-01
1539.160,2.684534e-01
1539.180,2.544632e-01
1539.200,2.304210e-01
1539.220,2.543305e-01
1539.240,2.683460e-01
1539.260,2.713814e-01
1539.280,2.751041e-01
1539.300,2.758699e-01
1539.320,2.762289e-01
1539.340,2.764294e-01
1539.360,2.765478e-01
1539.380,2.766169e-01
1539.400,2.766604e-01
1539.420,2.766854e-01
1539.440,2.767000e-01
1539.460,2.767063e-01
1539.480,2.767070e-01
1539.500,2.767037e-01
1539.520,2.766977e-01
1539.540,2.766890e-01
1539.560,2.766775e-01
1539.580,2.766632e-01
1539.600,2.766443e-01
1539.620,2.766205e-01
1539.640,2.765884e-01
1539.660,2.765480e-01
1539.680,2.764888e-01
1539.700,2.764050e-01
1539.720,2.762793e-01
1539.740,2.760841e-01
1539.760,2.753834e-01
1539.780,2.743075e-01
1539.800,2.735153e-01
1539.820,2.701156e-01
1539.840,2.664913e-01
1539.860,2.490105e-01
1539.880,1.924186e-01
1539.900,1.998467e-01
1539.920,2.510855e-01
1539.940,2.634973e-01
1539.960,2.586623e-01
1539.980,2.182025e-01
1540.000,1.953798e-01
1540.020,2.508173e-01
1540.040,2.673967e-01
1540.060,2.725770e-01
1540.080,2.747722e-01
1540.100,2.755199e-01
1540.120,2.753624e-01
1540.140,2.735789e-01
1540.160,2.734388e-01
1540.180,2.753017e-01
1540.200,2.761229e-01
1540.220,2.753674e-01
1540.240,2.756434e-01
1540.260,2.754326e-01
1540.280,2.753559e-01
1540.300,2.760091e-01
1540.320,2.758891e-01
1540.340,2.751198e-01
1540.360,2.716185e-01
1540.380,2.681407e-01
1540.400,2.641660e-01
1540.420,2.416132e-01
1540.440,2.508819e-01
1540.460,2.673538e-01
1540.480,2.725472e-01
1540.500,2.735841e-01
1540.520,2.751201e-01
1540.540,2.753113e-01
1540.560,2.749882e-01
1540.580,2.752866e-01
1540.600,2.753970e-01
1540.620,2.749789e-01
1540.640,2.739546e-01
1540.660,2.712661e-01
1540.680,2.671001e-01
1540.700,2.614541e-01
1540.720,2.646618e-01
1540.740,2.680304e-01
1540.760,2.667221e-01
1540.780,2.494906e-01
1540.800,2.346877e-01
1540.820,2.559129e-01
1540.840,2.700854e-01
1540.860,2.739179e-01
1540.880,2.751001e-01
1540.900,2.755663e-01
1540.920,2.757857e-01
1540.940,2.759000e-01
1540.960,2.759625e-01
1540.980,2.759970e-01
1541.000,2.760170e-01
1541.020,2.760260e-01
1541.040,2.760306e-01
1541.060,2.760329e-01
1541.080,2.760297e-01
1541.100,2.760237e-01
1541.120,2.758150e-01
1541.140,2.734548e-01
1541.160,2.745252e-01
1541.180,2.759494e-01
1541.200,2.759911e-01
1541.220,2.759851e-01
1541.240,2.759742e-01
1541.260,2.755730e-01
1541.280,2.740184e-01
1541.300,2.757276e-01
1541.320,2.759427e-01
1541.340,2.759354e-01
1541.360,2.759267e-01
1541.380,2.759179e-01
1541.400,2.759092e-01
1541.420,2.758494e-01
1541.440,2.745356e-01
1541.460,2.725927e-01
1541.480,2.701034e-01
1541.500,2.753165e-01
1541.520,2.758540e-01
1541.540,2.758480e-01
1541.560,2.758365e-01
1541.580,2.758278e-01
1541.600,2.758190e-01
1541.620,2.758103e-01
1541.640,2.758016e-01
1541.660,2.757928e-01
1541.680,2.757813e-01
1541.700,2.757726e-01
1541.720,2.757617e-01
1541.740,2.757524e-01
1541.760,2.757409e-01
1541.780,2.757294e-01
1541.800,2.757179e-01
1541.820,2.757036e-01
1541.840,2.756866e-01
1541.860,2.756622e-01
1541.880,2.756132e-01
1541.900,2.754201e-01
