# Sentinel-2 MSI B11/B12 spectral response functions (S2A + S2B), normalized.
# Source: ESA "Sentinel-2 Spectral Response Functions (S2-SRF)",
#   document COPE-GSEG-EOPG-TN-15-0007, issue 3.2 (2022-... , 10 Oct 2023 rev).
#   Downloaded from SentiWiki (sentiwiki.copernicus.eu/web/s2-documents) on 2026-07-06.
# Extracted from sheets 'Spectral Responses (S2A/S2B)', columns SR_WL, *_B11, *_B12.
# Rows restricted to wavelengths where any B11/B12 response is nonzero.
# wavelength in nm; response dimensionless (already normalized to peak 1 by ESA).
wavelength_nm,s2a_b11,s2a_b12,s2b_b11,s2b_b12
2122,0,0.62128986,0,0.94711578
2123,0,0.63421311,0,0.94827846
2124,0,0.64847648,0,0.94854335
2125,0,0.66363778,0,0.94782599
2126,0,0.67997936,0,0.94683272
2127,0,0.69609688,0,0.94584552
2128,0,0.71189957,0,0.94458923
2129,0,0.7269499,0,0.94320642
2130,0,0.74124079,0,0.94161778
2131,0,0.75734734,0,0.94216937
2132,0,0.77201504,0,0.94300085
2133,0,0.78552587,0,0.94396863
2134,0,0.79818641,0,0.94500784
2135,0,0.80962939,0,0.94593652
2136,0,0.81965718,0,0.94680905
2137,0,0.82855741,0,0.94766521
2138,0,0.83668178,0,0.94866638
2139,0,0.84440292,0,0.94960932
2140,0,0.85106862,0,0.95040536
2141,0,0.85321701,0,0.95078607
2142,0,0.85471321,0,0.95126357
2143,0,0.8561428,0,0.95205865
2144,0,0.85778963,0,0.9524548
2145,0,0.8594989,0,0.95228734
2146,0,0.86142876,0,0.95215614
2147,0,0.86322831,0,0.95239704
2148,0,0.86511218,0,0.95270563
2149,0,0.8672932,0,0.95306455
2150,0,0.86967076,0,0.9535262
2151,0,0.87427502,0,0.95404061
2152,0,0.87856212,0,0.9545903
2153,0,0.88241466,0,0.95529443
2154,0,0.88590611,0,0.95650666
2155,0,0.8894516,0,0.95774374
2156,0,0.89320419,0,0.95899449
2157,0,0.8966738,0,0.96021128
2158,0,0.89987484,0,0.96117558
2159,0,0.90257636,0,0.96241242
2160,0,0.90481219,0,0.96389292
